id,title,house_type,house_address,rent_fee,image,owner_id
5,Span,C,2021-12-26 17:16:12 -0500,88864,http://dummyimage.com/170x100.png/cc0000/ffffff,64
6,Stronghold,A,2021-12-27 06:10:55 -0500,52659,http://dummyimage.com/205x100.png/dddddd/000000,48
7,Voltsillam,A,2021-12-25 04:15:33 -0500,20646,http://dummyimage.com/137x100.png/ff4444/ffffff,4
8,Zamit,A,2021-12-24 11:31:08 -0500,44922,http://dummyimage.com/246x100.png/dddddd/000000,10
9,Keylex,B,2021-12-22 21:44:02 -0500,35107,http://dummyimage.com/152x100.png/ff4444/ffffff,29
10,Lotstring,B,2021-12-27 11:11:41 -0500,22105,http://dummyimage.com/207x100.png/cc0000/ffffff,2
11,Pannier,A,2021-12-22 21:24:04 -0500,21044,http://dummyimage.com/142x100.png/cc0000/ffffff,44
12,Transcof,C,2021-12-27 05:15:23 -0500,50487,http://dummyimage.com/238x100.png/dddddd/000000,31
13,Ventosanzap,E,2021-12-22 17:39:29 -0500,21422,http://dummyimage.com/124x100.png/ff4444/ffffff,53
14,Matsoft,C,2021-12-27 05:16:21 -0500,91023,http://dummyimage.com/185x100.png/cc0000/ffffff,96
15,Sonsing,A,2021-12-23 01:24:31 -0500,54714,http://dummyimage.com/170x100.png/ff4444/ffffff,93
16,Latlux,A,2021-12-25 06:23:48 -0500,11594,http://dummyimage.com/105x100.png/dddddd/000000,93
17,Cardify,B,2021-12-23 20:02:38 -0500,74728,http://dummyimage.com/195x100.png/cc0000/ffffff,50
18,Bamity,C,2021-12-24 14:12:27 -0500,53130,http://dummyimage.com/240x100.png/ff4444/ffffff,10
19,Zamit,B,2021-12-24 06:12:08 -0500,99247,http://dummyimage.com/232x100.png/5fa2dd/ffffff,9
20,Pannier,B,2021-12-24 15:21:22 -0500,66170,http://dummyimage.com/214x100.png/cc0000/ffffff,72
21,Trippledex,C,2021-12-24 22:21:11 -0500,44566,http://dummyimage.com/180x100.png/cc0000/ffffff,87
22,Namfix,D,2021-12-23 20:02:34 -0500,26230,http://dummyimage.com/201x100.png/cc0000/ffffff,93
23,Fixflex,A,2021-12-26 15:42:02 -0500,63666,http://dummyimage.com/218x100.png/5fa2dd/ffffff,70
24,Opela,A,2021-12-26 06:40:39 -0500,46116,http://dummyimage.com/154x100.png/dddddd/000000,6
25,Alpha,B,2021-12-26 07:34:47 -0500,93633,http://dummyimage.com/188x100.png/5fa2dd/ffffff,88
26,Toughjoyfax,A,2021-12-22 20:05:39 -0500,99028,http://dummyimage.com/177x100.png/5fa2dd/ffffff,26
27,Cardify,D,2021-12-26 06:57:18 -0500,66823,http://dummyimage.com/188x100.png/ff4444/ffffff,33
28,Otcom,B,2021-12-23 20:00:05 -0500,17176,http://dummyimage.com/120x100.png/cc0000/ffffff,17
29,Tampflex,A,2021-12-23 13:26:31 -0500,61391,http://dummyimage.com/223x100.png/dddddd/000000,57
30,Home Ing,B,2021-12-24 06:09:08 -0500,49430,http://dummyimage.com/228x100.png/cc0000/ffffff,6
31,Lotstring,A,2021-12-25 23:22:59 -0500,13111,http://dummyimage.com/146x100.png/ff4444/ffffff,77
32,Biodex,A,2021-12-22 20:51:03 -0500,17946,http://dummyimage.com/102x100.png/5fa2dd/ffffff,23
33,Veribet,B,2021-12-26 13:55:38 -0500,74737,http://dummyimage.com/100x100.png/cc0000/ffffff,22
34,Lotlux,A,2021-12-23 06:06:33 -0500,41865,http://dummyimage.com/153x100.png/cc0000/ffffff,31
35,Zaam-Dox,A,2021-12-27 09:41:08 -0500,86721,http://dummyimage.com/229x100.png/ff4444/ffffff,2
36,Tempsoft,A,2021-12-22 23:13:47 -0500,49237,http://dummyimage.com/165x100.png/dddddd/000000,18
37,Job,D,2021-12-26 05:18:25 -0500,86242,http://dummyimage.com/162x100.png/dddddd/000000,79
38,Lotstring,B,2021-12-26 09:07:13 -0500,25329,http://dummyimage.com/177x100.png/5fa2dd/ffffff,30
39,Cardguard,A,2021-12-23 19:29:45 -0500,49458,http://dummyimage.com/218x100.png/5fa2dd/ffffff,90
40,Treeflex,A,2021-12-24 03:07:11 -0500,97248,http://dummyimage.com/120x100.png/ff4444/ffffff,66
41,Fixflex,A,2021-12-27 06:17:23 -0500,89311,http://dummyimage.com/234x100.png/cc0000/ffffff,88
42,Biodex,B,2021-12-24 04:20:25 -0500,50268,http://dummyimage.com/207x100.png/dddddd/000000,1
43,Namfix,B,2021-12-27 11:43:53 -0500,61943,http://dummyimage.com/170x100.png/ff4444/ffffff,47
