id,title,location,area,baths,beds,garages,house_type,cost,image,status,slug,owner_id,created_at
4,1000 Sq. ft Apartment Is Available For Sale In Green Road Which Is Tailored To Your Highest Standards,"Kathalbagan, Dhaka","1,000",2,2,3,re,750000,image/5.png,1,1000 Sq. ft Apartment Is Available For Sale In Green Road Which Is Tailored To Your Highest Standards,35,2022-01-15 12:08:13.753592
5,This 1700 Sq Ft Apartment Is Up For Sale At Halishahar,"Road No 2, Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram","1,700",3,4,3,se,7500000,image/6.png,1,This 1700 Sq Ft Apartment Is Up For Sale At Halishahar,74,2021-21-15 15:08:13.753592
6,A 2212 Sq. Ft Apartment Which Is Up For Sale At Dhanmondi Near To Eastern University.,"Dhanmondi, Dhaka","2,212",4,3,3,sh,12000,image/7.png,1,A 2212 Sq. Ft Apartment Which Is Up For Sale At Dhanmondi Near To Eastern University.,83,2021-01-5 15:08:13.753592
7,A Convenient 1460 Sq Ft Residential Flat Is Prepared To Be Sold At Aftab Nagar,"Sector 1, Block D, Aftab Nagar, Dhaka","1,460",3,3,1,sh,120000,image/8.png,0,A Convenient 1460 Sq Ft Residential Flat Is Prepared To Be Sold At Aftab Nagar,8,2021-01-15 15:08:13.753592
8,Residential Apartment For Sale Of 1303 Sq Ft In Lal Khan Bazaar,"Dampara, 14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram","1,303",3,3,3,se,28500,image/9.png,0,Residential Apartment For Sale Of 1303 Sq Ft In Lal Khan Bazaar,32,2021-01-5 15:08:13.753592
9,At Lal Khan Bazaar 1300 Square Feet Flat Is Available For Sale Close To Lal Khan Bazaar Central Mosque,"Dampara, 14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram","1,300",3,3,3,re,285000,image/10.png,1,At Lal Khan Bazaar 1300 Square Feet Flat Is Available For Sale Close To Lal Khan Bazaar Central Mosque,72,2021-01-5 15:08:13.753592
10,"An Apartment Is Ready For Sale At Lal Khan Bazaar , Near Lalkhan Bazar Jame Mosjid","Dampara, 14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram","1,800",3,3,2,re,1000000,image/11.png,0,"An Apartment Is Ready For Sale At Lal Khan Bazaar , Near Lalkhan Bazar Jame Mosjid",95,2021-01-5 15:08:13.753592
11,1100 Sq Ft Flat For Sale In South Banasree,"Block L, South Banasree Project, Banasree, Dhaka","1,100",3,3,1,se,10000000,image/12.png,0,1100 Sq Ft Flat For Sale In South Banasree,42,2021-21-15 15:08:13.753592
12,"1070 Square Feet Apartment Is For Sale At Block B, Banasree","Block B, Banasree, Dhaka","1,070",2,2,2,re,700000,image/13.png,0,"1070 Square Feet Apartment Is For Sale At Block B, Banasree",47,2021-01-5 15:08:13.753592
13,1200 Sq Ft Residential Apartment For Sale In Dhanmondi,"Dhanmondi, Dhaka","1,200",3,3,0,se,7000000,image/14.png,1,1200 Sq Ft Residential Apartment For Sale In Dhanmondi,78,2021-01-5 15:08:13.753592
14,A Smartly Priced 1630 Sq. Ft Apartment Which Is Up For Sale In Dhanmondi Very Near To Naaz E Noor Hospital (Pvt) Ltd.,"Dhanmondi, Dhaka","1,630",4,3,3,se,750000,image/15.png,0,A Smartly Priced 1630 Sq. Ft Apartment Which Is Up For Sale In Dhanmondi Very Near To Naaz E Noor Hospital (Pvt) Ltd.,45,2021-01-5 15:08:13.753592
15,"Flat For Sale In Gulshan 2, Near High Commission Of Pakistan","Gulshan 2, Gulshan, Dhaka","2,906",3,4,2,re,7500000,image/16.png,1,"Flat For Sale In Gulshan 2, Near High Commission Of Pakistan",64,2021-01-15 15:08:13.753592
16,Spacious and Well Planned Flat For Sale In Eskaton,"Eskaton, Dhaka",650,2,3,0,se,880000,image/17.png,1,Spacious and Well Planned Flat For Sale In Eskaton,92,2022-01-15 12:08:13.753592
17,"Exclusive 2,004 Sq. Ft. Apartment Is Up For Sale At Uttara Nearby Sonali Bank Limited","Sector 4, Uttara, Dhaka","2,004",3,3,1,re,8800000,image/18.png,0,"Exclusive 2,004 Sq. Ft. Apartment Is Up For Sale At Uttara Nearby Sonali Bank Limited",58,2022-01-15 12:08:13.753592
18,A Stunning Apartment In Banani Near Banani Jame Masjid Is Up For Sale,"Banani, Dhaka","2,211",3,3,0,se,670000,image/19.png,0,A Stunning Apartment In Banani Near Banani Jame Masjid Is Up For Sale,6,2021-21-15 15:08:13.753592
19,An Apartment Of 1553 Sq. Ft For Sale Is All Set For You To Settle In Bijoy Rakeen City.,"Block D, Section 15, Mirpur, Dhaka","1,553",3,3,1,sh,6700000,image/20.png,1,An Apartment Of 1553 Sq. Ft For Sale Is All Set For You To Settle In Bijoy Rakeen City.,41,2021-01-5 15:08:13.753592
