title,house_type,house_address,rent_fee,image,owner_id
Equus burchelli,green,9371,52221,http://dummyimage.com/236x100.png/dddddd/000000,32
Connochaetus taurinus,green,8104,20259,http://dummyimage.com/149x100.png/5fa2dd/ffffff,29
Dromaeus novaehollandiae,blue,1,41963,http://dummyimage.com/182x100.png/dddddd/000000,26
Coendou prehensilis,red,8,21181,http://dummyimage.com/155x100.png/cc0000/ffffff,89
Vulpes chama,green,04973,66800,http://dummyimage.com/211x100.png/ff4444/ffffff,98
Columba livia,blue,11,83258,http://dummyimage.com/161x100.png/5fa2dd/ffffff,83
Toxostoma curvirostre,red,6752,58117,http://dummyimage.com/117x100.png/5fa2dd/ffffff,70
Ornithorhynchus anatinus,blue,22348,98503,http://dummyimage.com/169x100.png/dddddd/000000,91
Charadrius tricollaris,blue,4385,98438,http://dummyimage.com/177x100.png/dddddd/000000,69
Phoenicopterus ruber,green,6096,91781,http://dummyimage.com/163x100.png/dddddd/000000,95
Snycerus caffer,blue,15913,98964,http://dummyimage.com/157x100.png/5fa2dd/ffffff,73
Actophilornis africanus,blue,60,91853,http://dummyimage.com/138x100.png/5fa2dd/ffffff,60
Neophron percnopterus,green,7297,70111,http://dummyimage.com/124x100.png/ff4444/ffffff,31
Aonyx capensis,blue,8784,63540,http://dummyimage.com/164x100.png/5fa2dd/ffffff,18
Gazella granti,red,5647,16543,http://dummyimage.com/200x100.png/dddddd/000000,64
Philetairus socius,white,08,17584,http://dummyimage.com/194x100.png/5fa2dd/ffffff,94
Castor canadensis,red,7992,93910,http://dummyimage.com/227x100.png/cc0000/ffffff,97
Cracticus nigroagularis,green,823,90526,http://dummyimage.com/147x100.png/dddddd/000000,32
Libellula quadrimaculata,blue,25831,48975,http://dummyimage.com/224x100.png/cc0000/ffffff,1
Phylurus milli,red,8,23147,http://dummyimage.com/177x100.png/cc0000/ffffff,86
Anastomus oscitans,green,731,55976,http://dummyimage.com/229x100.png/5fa2dd/ffffff,59
Varanus sp.,green,13,27246,http://dummyimage.com/178x100.png/5fa2dd/ffffff,57
Equus hemionus,green,825,97859,http://dummyimage.com/196x100.png/dddddd/000000,31
Canis dingo,green,62583,47178,http://dummyimage.com/106x100.png/dddddd/000000,41
Macropus rufogriseus,white,45,41232,http://dummyimage.com/238x100.png/ff4444/ffffff,6
Canis latrans,green,8224,38370,http://dummyimage.com/242x100.png/5fa2dd/ffffff,16
Charadrius tricollaris,white,4770,42313,http://dummyimage.com/125x100.png/cc0000/ffffff,86
Crotalus cerastes,red,677,15988,http://dummyimage.com/132x100.png/5fa2dd/ffffff,85
Orcinus orca,red,1229,67434,http://dummyimage.com/163x100.png/5fa2dd/ffffff,88
Phalacrocorax albiventer,white,902,25065,http://dummyimage.com/108x100.png/ff4444/ffffff,45
Ephipplorhynchus senegalensis,blue,00494,44810,http://dummyimage.com/208x100.png/5fa2dd/ffffff,84
Cathartes aura,green,5290,16327,http://dummyimage.com/105x100.png/cc0000/ffffff,60
Chlidonias leucopterus,blue,19360,15509,http://dummyimage.com/250x100.png/cc0000/ffffff,94
Ctenophorus ornatus,red,71,53584,http://dummyimage.com/250x100.png/dddddd/000000,96
Sylvilagus floridanus,green,6207,98067,http://dummyimage.com/185x100.png/ff4444/ffffff,89
Ramphastos tucanus,red,2,35455,http://dummyimage.com/102x100.png/dddddd/000000,94
Varanus sp.,red,970,64780,http://dummyimage.com/142x100.png/5fa2dd/ffffff,94
Naja nivea,blue,77313,26631,http://dummyimage.com/104x100.png/5fa2dd/ffffff,8
Aegypius occipitalis,blue,3,10234,http://dummyimage.com/242x100.png/ff4444/ffffff,33
Libellula quadrimaculata,green,19,48279,http://dummyimage.com/102x100.png/cc0000/ffffff,27
Libellula quadrimaculata,blue,568,91549,http://dummyimage.com/165x100.png/dddddd/000000,31
Pseudalopex gymnocercus,white,931,13862,http://dummyimage.com/247x100.png/dddddd/000000,10
Dasyurus viverrinus,blue,667,44387,http://dummyimage.com/175x100.png/ff4444/ffffff,30
Alligator mississippiensis,blue,428,17525,http://dummyimage.com/138x100.png/dddddd/000000,83
Tetracerus quadricornis,blue,94076,71341,http://dummyimage.com/114x100.png/cc0000/ffffff,20
Cordylus giganteus,white,40,24512,http://dummyimage.com/113x100.png/5fa2dd/ffffff,49
Phalacrocorax brasilianus,red,128,92393,http://dummyimage.com/183x100.png/cc0000/ffffff,18
Hymenolaimus malacorhynchus,green,91,34837,http://dummyimage.com/101x100.png/ff4444/ffffff,53
Threskionis aethiopicus,red,8,22243,http://dummyimage.com/151x100.png/5fa2dd/ffffff,44
Macaca radiata,blue,0805,63359,http://dummyimage.com/159x100.png/5fa2dd/ffffff,21
Milvus migrans,white,90381,61381,http://dummyimage.com/165x100.png/5fa2dd/ffffff,98
Rhea americana,green,16,57677,http://dummyimage.com/134x100.png/ff4444/ffffff,45
Dromaeus novaehollandiae,red,690,23282,http://dummyimage.com/139x100.png/5fa2dd/ffffff,43
Lutra canadensis,red,84086,45336,http://dummyimage.com/195x100.png/5fa2dd/ffffff,47
Gopherus agassizii,white,4,43276,http://dummyimage.com/137x100.png/dddddd/000000,58
Axis axis,blue,69324,82267,http://dummyimage.com/129x100.png/dddddd/000000,35
Amblyrhynchus cristatus,green,283,43402,http://dummyimage.com/207x100.png/5fa2dd/ffffff,56
Corvus albus,green,1694,65056,http://dummyimage.com/136x100.png/ff4444/ffffff,66
Cervus unicolor,blue,06,85681,http://dummyimage.com/162x100.png/ff4444/ffffff,88
Crocuta crocuta,white,0538,77581,http://dummyimage.com/203x100.png/5fa2dd/ffffff,39
Trichoglossus chlorolepidotus,green,12,31246,http://dummyimage.com/161x100.png/dddddd/000000,81
Felis caracal,green,88062,60167,http://dummyimage.com/188x100.png/dddddd/000000,45
Agkistrodon piscivorus,green,33870,51889,http://dummyimage.com/185x100.png/5fa2dd/ffffff,73
Bugeranus caruncalatus,green,7,35659,http://dummyimage.com/100x100.png/cc0000/ffffff,78
Crocodylus niloticus,green,21565,22097,http://dummyimage.com/155x100.png/cc0000/ffffff,27
Gyps bengalensis,green,0,46375,http://dummyimage.com/183x100.png/cc0000/ffffff,69
Ourebia ourebi,blue,3440,80381,http://dummyimage.com/108x100.png/dddddd/000000,70
Oryx gazella,red,21,22657,http://dummyimage.com/154x100.png/5fa2dd/ffffff,1
Cordylus giganteus,green,5842,13121,http://dummyimage.com/165x100.png/5fa2dd/ffffff,64
Uraeginthus granatina,green,70541,37024,http://dummyimage.com/221x100.png/dddddd/000000,29
Pterocles gutturalis,blue,4,55922,http://dummyimage.com/228x100.png/ff4444/ffffff,87
Connochaetus taurinus,green,37046,65828,http://dummyimage.com/160x100.png/dddddd/000000,44
Hyaena brunnea,green,20,80467,http://dummyimage.com/171x100.png/dddddd/000000,79
Odocoileus hemionus,green,1,22335,http://dummyimage.com/182x100.png/ff4444/ffffff,3
Uraeginthus angolensis,blue,7,51013,http://dummyimage.com/181x100.png/dddddd/000000,28
Merops sp.,white,1,51111,http://dummyimage.com/153x100.png/ff4444/ffffff,35
unavailable,blue,13,78189,http://dummyimage.com/118x100.png/5fa2dd/ffffff,44
Dasyurus maculatus,green,9659,11822,http://dummyimage.com/115x100.png/dddddd/000000,7
Phalacrocorax albiventer,blue,42839,10616,http://dummyimage.com/242x100.png/cc0000/ffffff,35
Plocepasser mahali,blue,8492,16935,http://dummyimage.com/148x100.png/cc0000/ffffff,79
Trichoglossus haematodus moluccanus,blue,3,18399,http://dummyimage.com/235x100.png/5fa2dd/ffffff,39
Cracticus nigroagularis,green,58111,94585,http://dummyimage.com/200x100.png/ff4444/ffffff,47
Ciconia episcopus,green,9878,74568,http://dummyimage.com/119x100.png/cc0000/ffffff,31
Anitibyx armatus,red,1219,89014,http://dummyimage.com/178x100.png/5fa2dd/ffffff,21
Macropus agilis,red,2,55081,http://dummyimage.com/229x100.png/5fa2dd/ffffff,62
Uraeginthus angolensis,green,768,45266,http://dummyimage.com/112x100.png/ff4444/ffffff,82
Corallus hortulanus cooki,red,3,61181,http://dummyimage.com/200x100.png/ff4444/ffffff,34
Dendrocitta vagabunda,red,76111,38282,http://dummyimage.com/158x100.png/5fa2dd/ffffff,72
Perameles nasuta,blue,47,53734,http://dummyimage.com/105x100.png/cc0000/ffffff,74
Myotis lucifugus,white,71368,59321,http://dummyimage.com/149x100.png/ff4444/ffffff,12
Coluber constrictor foxii,blue,9845,61780,http://dummyimage.com/146x100.png/dddddd/000000,79
Hystrix cristata,green,68853,40334,http://dummyimage.com/112x100.png/ff4444/ffffff,20
Gazella thompsonii,green,1792,10172,http://dummyimage.com/201x100.png/dddddd/000000,43
Nyctanassa violacea,blue,94530,47479,http://dummyimage.com/173x100.png/cc0000/ffffff,52
Capreolus capreolus,green,0578,69576,http://dummyimage.com/241x100.png/cc0000/ffffff,20
Catharacta skua,green,93,83187,http://dummyimage.com/140x100.png/cc0000/ffffff,4
Spizaetus coronatus,red,508,73621,http://dummyimage.com/215x100.png/cc0000/ffffff,52
Dasypus novemcinctus,blue,29,84756,http://dummyimage.com/141x100.png/cc0000/ffffff,49
Carduelis pinus,green,403,22367,http://dummyimage.com/112x100.png/cc0000/ffffff,40
Cygnus atratus,green,3,58612,http://dummyimage.com/125x100.png/dddddd/000000,88
Limnocorax flavirostra,red,234,12786,http://dummyimage.com/152x100.png/dddddd/000000,29
Tiliqua scincoides,green,52041,63147,http://dummyimage.com/249x100.png/cc0000/ffffff,39
Lepilemur rufescens,green,1929,27071,http://dummyimage.com/204x100.png/cc0000/ffffff,28
Laniaurius atrococcineus,white,6339,74088,http://dummyimage.com/148x100.png/5fa2dd/ffffff,39
Naja nivea,green,349,20881,http://dummyimage.com/228x100.png/cc0000/ffffff,81
Stenella coeruleoalba,green,91,88273,http://dummyimage.com/174x100.png/5fa2dd/ffffff,65
Phalacrocorax albiventer,green,0,18624,http://dummyimage.com/137x100.png/ff4444/ffffff,86
Ephippiorhynchus mycteria,green,5,74008,http://dummyimage.com/211x100.png/5fa2dd/ffffff,81
Raphicerus campestris,green,418,13942,http://dummyimage.com/239x100.png/5fa2dd/ffffff,18
Phoenicopterus ruber,blue,43,52845,http://dummyimage.com/102x100.png/dddddd/000000,15
Loxodonta africana,blue,7,33302,http://dummyimage.com/151x100.png/dddddd/000000,52
Madoqua kirkii,white,2751,13007,http://dummyimage.com/190x100.png/5fa2dd/ffffff,95
Cercopithecus aethiops,green,7,26312,http://dummyimage.com/133x100.png/ff4444/ffffff,58
Mabuya spilogaster,blue,315,52234,http://dummyimage.com/215x100.png/5fa2dd/ffffff,56
Taxidea taxus,red,7575,72608,http://dummyimage.com/177x100.png/dddddd/000000,39
Kobus defassa,green,494,44117,http://dummyimage.com/215x100.png/dddddd/000000,23
Crotalus cerastes,blue,1,36534,http://dummyimage.com/126x100.png/ff4444/ffffff,36
Butorides striatus,blue,3756,66664,http://dummyimage.com/196x100.png/dddddd/000000,5
Panthera tigris,blue,68854,67925,http://dummyimage.com/201x100.png/5fa2dd/ffffff,7
Suricata suricatta,blue,2737,68369,http://dummyimage.com/122x100.png/ff4444/ffffff,28
Redunca redunca,blue,18,14405,http://dummyimage.com/247x100.png/dddddd/000000,38
Lemur catta,red,64308,34600,http://dummyimage.com/113x100.png/dddddd/000000,88
Gazella granti,green,85,73974,http://dummyimage.com/245x100.png/cc0000/ffffff,33
Madoqua kirkii,blue,973,30540,http://dummyimage.com/102x100.png/dddddd/000000,75
Echimys chrysurus,blue,43,79613,http://dummyimage.com/124x100.png/5fa2dd/ffffff,22
Macropus fuliginosus,green,8,47519,http://dummyimage.com/250x100.png/ff4444/ffffff,63
Graspus graspus,blue,4205,40581,http://dummyimage.com/111x100.png/ff4444/ffffff,97
Plocepasser mahali,green,68,47098,http://dummyimage.com/213x100.png/cc0000/ffffff,18
Callipepla gambelii,white,8420,74483,http://dummyimage.com/100x100.png/5fa2dd/ffffff,76
Acridotheres tristis,green,6,60249,http://dummyimage.com/144x100.png/ff4444/ffffff,9
Anas punctata,green,1763,81088,http://dummyimage.com/137x100.png/cc0000/ffffff,50
Limosa haemastica,blue,979,46699,http://dummyimage.com/103x100.png/dddddd/000000,62
Spermophilus parryii,red,4921,11451,http://dummyimage.com/149x100.png/5fa2dd/ffffff,53
Anhinga rufa,red,085,85314,http://dummyimage.com/199x100.png/cc0000/ffffff,21
Myrmecophaga tridactyla,green,07023,88903,http://dummyimage.com/146x100.png/cc0000/ffffff,37
Balearica pavonina,green,5139,92934,http://dummyimage.com/149x100.png/5fa2dd/ffffff,91
Spermophilus parryii,red,06048,53265,http://dummyimage.com/109x100.png/5fa2dd/ffffff,98
Columba palumbus,blue,46,25035,http://dummyimage.com/223x100.png/ff4444/ffffff,53
Phylurus milli,red,4554,59516,http://dummyimage.com/229x100.png/5fa2dd/ffffff,72
Chlidonias leucopterus,white,763,69282,http://dummyimage.com/139x100.png/cc0000/ffffff,49
Paradoxurus hermaphroditus,red,1651,94358,http://dummyimage.com/149x100.png/cc0000/ffffff,22
Dasyurus viverrinus,white,2517,70696,http://dummyimage.com/114x100.png/dddddd/000000,19
Vanellus chilensis,blue,76,67613,http://dummyimage.com/164x100.png/cc0000/ffffff,54
Leipoa ocellata,blue,2100,29670,http://dummyimage.com/248x100.png/cc0000/ffffff,6
Agkistrodon piscivorus,white,098,39853,http://dummyimage.com/122x100.png/5fa2dd/ffffff,96
Bos taurus,green,0013,82886,http://dummyimage.com/173x100.png/ff4444/ffffff,45
Litrocranius walleri,red,44454,97722,http://dummyimage.com/172x100.png/5fa2dd/ffffff,34
Varanus sp.,red,03,89885,http://dummyimage.com/139x100.png/dddddd/000000,54
Crotalus cerastes,green,1,85252,http://dummyimage.com/118x100.png/cc0000/ffffff,49
Thalasseus maximus,red,8665,16699,http://dummyimage.com/171x100.png/5fa2dd/ffffff,5
unavailable,green,4,17247,http://dummyimage.com/101x100.png/cc0000/ffffff,100
Madoqua kirkii,green,07709,74797,http://dummyimage.com/223x100.png/dddddd/000000,31
Phalaropus fulicarius,green,837,34019,http://dummyimage.com/131x100.png/cc0000/ffffff,48
Varanus sp.,green,00730,77111,http://dummyimage.com/160x100.png/dddddd/000000,3
unavailable,blue,45911,47288,http://dummyimage.com/214x100.png/5fa2dd/ffffff,22
Potorous tridactylus,green,21785,50793,http://dummyimage.com/243x100.png/ff4444/ffffff,30
Corvus albicollis,blue,9,63168,http://dummyimage.com/164x100.png/dddddd/000000,26
Aonyx capensis,blue,0144,75608,http://dummyimage.com/119x100.png/dddddd/000000,95
Colobus guerza,green,147,78578,http://dummyimage.com/234x100.png/cc0000/ffffff,22
Corvus brachyrhynchos,green,49,76210,http://dummyimage.com/168x100.png/5fa2dd/ffffff,26
Sarcorhamphus papa,red,6061,78472,http://dummyimage.com/174x100.png/cc0000/ffffff,60
Trichoglossus haematodus moluccanus,blue,41,57398,http://dummyimage.com/148x100.png/cc0000/ffffff,27
Tadorna tadorna,blue,329,21602,http://dummyimage.com/220x100.png/ff4444/ffffff,94
Corvus albus,green,27443,90732,http://dummyimage.com/103x100.png/5fa2dd/ffffff,59
Ara ararauna,blue,3635,60418,http://dummyimage.com/132x100.png/cc0000/ffffff,77
Ephipplorhynchus senegalensis,green,1,68610,http://dummyimage.com/167x100.png/5fa2dd/ffffff,14
Odocoileus hemionus,blue,8481,69746,http://dummyimage.com/165x100.png/cc0000/ffffff,54
Callipepla gambelii,blue,23872,36289,http://dummyimage.com/155x100.png/dddddd/000000,63
Ephipplorhynchus senegalensis,green,30,80043,http://dummyimage.com/182x100.png/dddddd/000000,96
Anser caerulescens,red,7495,87857,http://dummyimage.com/149x100.png/dddddd/000000,94
Bos frontalis,red,629,48555,http://dummyimage.com/155x100.png/cc0000/ffffff,70
Phasianus colchicus,green,60,69208,http://dummyimage.com/131x100.png/cc0000/ffffff,44
Ctenophorus ornatus,red,641,38724,http://dummyimage.com/102x100.png/5fa2dd/ffffff,30
Junonia genoveua,green,271,27656,http://dummyimage.com/147x100.png/5fa2dd/ffffff,76
Lutra canadensis,green,20405,49148,http://dummyimage.com/247x100.png/cc0000/ffffff,54
Dusicyon thous,red,1,74268,http://dummyimage.com/204x100.png/cc0000/ffffff,94
Felis libyca,green,90,33872,http://dummyimage.com/180x100.png/cc0000/ffffff,41
Dusicyon thous,white,5,63448,http://dummyimage.com/118x100.png/ff4444/ffffff,20
Iguana iguana,green,51197,51584,http://dummyimage.com/248x100.png/dddddd/000000,46
Sarkidornis melanotos,red,3369,68286,http://dummyimage.com/245x100.png/cc0000/ffffff,98
Cynomys ludovicianus,blue,6,27727,http://dummyimage.com/176x100.png/ff4444/ffffff,21
Phalaropus lobatus,green,0,37177,http://dummyimage.com/117x100.png/cc0000/ffffff,36
Pseudoleistes virescens,green,3893,11296,http://dummyimage.com/173x100.png/ff4444/ffffff,83
Graspus graspus,green,22,73899,http://dummyimage.com/171x100.png/cc0000/ffffff,60
Macropus fuliginosus,green,407,62455,http://dummyimage.com/109x100.png/ff4444/ffffff,66
Echimys chrysurus,red,12,12412,http://dummyimage.com/129x100.png/ff4444/ffffff,42
Equus burchelli,green,08,17382,http://dummyimage.com/224x100.png/dddddd/000000,40
Corvus brachyrhynchos,red,6741,62188,http://dummyimage.com/138x100.png/ff4444/ffffff,1
Tapirus terrestris,red,1553,82410,http://dummyimage.com/213x100.png/cc0000/ffffff,21
Cygnus atratus,green,71,75587,http://dummyimage.com/231x100.png/5fa2dd/ffffff,96
Dendrocitta vagabunda,blue,23,98466,http://dummyimage.com/223x100.png/cc0000/ffffff,75
Tragelaphus angasi,red,01,12433,http://dummyimage.com/234x100.png/ff4444/ffffff,51
unavailable,green,3,43708,http://dummyimage.com/186x100.png/cc0000/ffffff,31
Sarcophilus harrisii,red,38,18600,http://dummyimage.com/231x100.png/5fa2dd/ffffff,75
Conolophus subcristatus,red,246,97442,http://dummyimage.com/179x100.png/cc0000/ffffff,9
Ara macao,blue,0231,99115,http://dummyimage.com/147x100.png/ff4444/ffffff,60
Pelecanus occidentalis,green,93,21965,http://dummyimage.com/125x100.png/5fa2dd/ffffff,80
Pycnonotus nigricans,blue,0,70473,http://dummyimage.com/236x100.png/ff4444/ffffff,22
Francolinus coqui,green,43,67727,http://dummyimage.com/228x100.png/5fa2dd/ffffff,36
Columba livia,green,5,54481,http://dummyimage.com/163x100.png/cc0000/ffffff,82
Phalaropus lobatus,blue,53659,86252,http://dummyimage.com/135x100.png/dddddd/000000,4
Vanellus chilensis,white,35367,37425,http://dummyimage.com/174x100.png/ff4444/ffffff,8
Coluber constrictor,green,55232,93650,http://dummyimage.com/172x100.png/cc0000/ffffff,38
Macropus robustus,red,82,58084,http://dummyimage.com/250x100.png/cc0000/ffffff,60
Colaptes campestroides,blue,14152,74725,http://dummyimage.com/112x100.png/5fa2dd/ffffff,81
Ratufa indica,green,51670,15619,http://dummyimage.com/114x100.png/cc0000/ffffff,8
Paroaria gularis,white,8701,60113,http://dummyimage.com/196x100.png/ff4444/ffffff,74
Cebus apella,blue,391,82051,http://dummyimage.com/115x100.png/cc0000/ffffff,14
Vulpes cinereoargenteus,green,5,44690,http://dummyimage.com/110x100.png/5fa2dd/ffffff,97
Catharacta skua,red,48,79883,http://dummyimage.com/245x100.png/dddddd/000000,68
Chlidonias leucopterus,blue,014,20756,http://dummyimage.com/130x100.png/dddddd/000000,30
Odocoilenaus virginianus,green,50910,78682,http://dummyimage.com/180x100.png/dddddd/000000,56
Gazella thompsonii,white,52,87363,http://dummyimage.com/191x100.png/cc0000/ffffff,12
Ploceus intermedius,white,9078,62019,http://dummyimage.com/190x100.png/ff4444/ffffff,25
Trichechus inunguis,blue,8318,91779,http://dummyimage.com/211x100.png/cc0000/ffffff,9
Meleagris gallopavo,green,0,29367,http://dummyimage.com/210x100.png/cc0000/ffffff,12
Cacatua tenuirostris,blue,8869,31438,http://dummyimage.com/101x100.png/ff4444/ffffff,24
Echimys chrysurus,red,06797,77693,http://dummyimage.com/224x100.png/5fa2dd/ffffff,90
Amblyrhynchus cristatus,green,3701,81598,http://dummyimage.com/165x100.png/cc0000/ffffff,7
Cordylus giganteus,blue,188,98334,http://dummyimage.com/154x100.png/dddddd/000000,64
Naja haje,blue,07,66752,http://dummyimage.com/185x100.png/cc0000/ffffff,42
Felis yagouaroundi,blue,89587,31822,http://dummyimage.com/133x100.png/cc0000/ffffff,58
Camelus dromedarius,green,94865,78642,http://dummyimage.com/122x100.png/cc0000/ffffff,85
Milvago chimachima,blue,08786,58274,http://dummyimage.com/195x100.png/cc0000/ffffff,50
Uraeginthus bengalus,green,375,71459,http://dummyimage.com/123x100.png/ff4444/ffffff,82
Leprocaulinus vipera,white,5,23713,http://dummyimage.com/229x100.png/5fa2dd/ffffff,38
Ceratotherium simum,green,69,95909,http://dummyimage.com/181x100.png/5fa2dd/ffffff,73
Choloepus hoffmani,white,125,16677,http://dummyimage.com/100x100.png/dddddd/000000,54
Streptopelia senegalensis,blue,6134,85266,http://dummyimage.com/213x100.png/ff4444/ffffff,45
Boselaphus tragocamelus,red,43,82956,http://dummyimage.com/139x100.png/5fa2dd/ffffff,27
Myrmecophaga tridactyla,blue,392,16047,http://dummyimage.com/180x100.png/ff4444/ffffff,21
Carduelis pinus,green,362,57163,http://dummyimage.com/135x100.png/5fa2dd/ffffff,98
Psittacula krameri,blue,49,84751,http://dummyimage.com/243x100.png/cc0000/ffffff,77
Choloepus hoffmani,green,924,38382,http://dummyimage.com/246x100.png/dddddd/000000,44
Gymnorhina tibicen,red,66455,39023,http://dummyimage.com/122x100.png/ff4444/ffffff,34
Tachybaptus ruficollis,green,2,56783,http://dummyimage.com/159x100.png/5fa2dd/ffffff,58
Dicrurus adsimilis,green,2,23961,http://dummyimage.com/213x100.png/ff4444/ffffff,13
Chelodina longicollis,green,395,40792,http://dummyimage.com/234x100.png/dddddd/000000,85
Dasyurus maculatus,blue,411,28019,http://dummyimage.com/102x100.png/dddddd/000000,90
Buteo galapagoensis,white,54,20477,http://dummyimage.com/158x100.png/ff4444/ffffff,49
Corallus hortulanus cooki,green,2,52169,http://dummyimage.com/116x100.png/dddddd/000000,96
Ara ararauna,blue,654,90581,http://dummyimage.com/194x100.png/cc0000/ffffff,14
Ninox superciliaris,white,559,52043,http://dummyimage.com/143x100.png/5fa2dd/ffffff,9
Odocoileus hemionus,blue,3,28581,http://dummyimage.com/193x100.png/5fa2dd/ffffff,37
Hystrix indica,blue,44042,83385,http://dummyimage.com/147x100.png/cc0000/ffffff,67
Dendrohyrax brucel,blue,894,23728,http://dummyimage.com/222x100.png/5fa2dd/ffffff,87
Panthera pardus,blue,2764,33582,http://dummyimage.com/161x100.png/dddddd/000000,81
Cebus nigrivittatus,white,06862,43717,http://dummyimage.com/108x100.png/ff4444/ffffff,11
Nyctereutes procyonoides,green,7,85165,http://dummyimage.com/124x100.png/5fa2dd/ffffff,39
Paraxerus cepapi,red,3214,51634,http://dummyimage.com/119x100.png/dddddd/000000,55
Hippopotamus amphibius,blue,9,77363,http://dummyimage.com/220x100.png/cc0000/ffffff,64
Sus scrofa,white,33936,39856,http://dummyimage.com/130x100.png/dddddd/000000,69
Ara chloroptera,white,7,98831,http://dummyimage.com/212x100.png/dddddd/000000,95
unavailable,red,7104,67782,http://dummyimage.com/242x100.png/dddddd/000000,5
Anthropoides paradisea,green,873,79630,http://dummyimage.com/183x100.png/cc0000/ffffff,49
Pteropus rufus,green,5392,89235,http://dummyimage.com/138x100.png/5fa2dd/ffffff,50
Acrantophis madagascariensis,green,1133,19135,http://dummyimage.com/176x100.png/5fa2dd/ffffff,12
Phoeniconaias minor,blue,1,50740,http://dummyimage.com/121x100.png/5fa2dd/ffffff,41
Crotaphytus collaris,white,9,22321,http://dummyimage.com/194x100.png/5fa2dd/ffffff,79
Phylurus milli,green,802,81153,http://dummyimage.com/121x100.png/dddddd/000000,98
Marmota monax,blue,3881,72132,http://dummyimage.com/157x100.png/dddddd/000000,36
Corvus albicollis,green,51,85473,http://dummyimage.com/128x100.png/5fa2dd/ffffff,28
Hydrochoerus hydrochaeris,blue,36818,21239,http://dummyimage.com/224x100.png/5fa2dd/ffffff,73
unavailable,blue,15,51264,http://dummyimage.com/207x100.png/5fa2dd/ffffff,92
Macaca radiata,blue,651,82280,http://dummyimage.com/216x100.png/cc0000/ffffff,2
Macropus giganteus,green,295,88234,http://dummyimage.com/167x100.png/ff4444/ffffff,1
Streptopelia senegalensis,green,8328,38562,http://dummyimage.com/200x100.png/dddddd/000000,56
Ammospermophilus nelsoni,blue,78453,30523,http://dummyimage.com/208x100.png/dddddd/000000,1
Bubo sp.,green,13,29613,http://dummyimage.com/188x100.png/ff4444/ffffff,18
unavailable,green,93927,98641,http://dummyimage.com/132x100.png/ff4444/ffffff,84
Tragelaphus scriptus,blue,33122,20933,http://dummyimage.com/157x100.png/ff4444/ffffff,68
Callipepla gambelii,green,5851,88999,http://dummyimage.com/195x100.png/ff4444/ffffff,77
Chlamydosaurus kingii,blue,928,47148,http://dummyimage.com/173x100.png/cc0000/ffffff,66
Galictis vittata,blue,24,22464,http://dummyimage.com/206x100.png/cc0000/ffffff,50
Stercorarius longicausus,blue,527,96596,http://dummyimage.com/246x100.png/dddddd/000000,15
Vulpes vulpes,green,217,87595,http://dummyimage.com/134x100.png/cc0000/ffffff,5
Felis libyca,red,694,48706,http://dummyimage.com/247x100.png/cc0000/ffffff,48
Rhea americana,green,5719,20852,http://dummyimage.com/146x100.png/ff4444/ffffff,43
